MH2,MH3,MH5,SAP,SSN,DESCRIPTION,Sales Quantity,Online Sales Quantity,% Online Sales,Gross Sales,Margin %,Total Stock ,DC Stock ,Total Wks Cover,DC Cover
APPAREL_BOYS,BOYS_TRAIN_APP,B_1\/2_ZT,1120132,21Q4,Nike Boys DF Sport Poly Half Zip Green,2,1,50.00%,76,51.90%,2,1,1,0.5
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_INL_TSH,1124052,22Q1,adidas Women's WTR ICNS 3S Tee Red,2,1,50.00%,76,49.90%,40,19,20,9.5
FOOTWEAR_GIRLS,INF_GIRLS_FW,INFGIRLFW,1120391,21Q4,Nike MD Valiant Inf Girls Fw Violet/Pink,5,1,20.00%,76,22.00%,75,12,15,2.4
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1098953,P21Q4,Puma Flyer Runner Mens Fw Black,6,6,100.00%,76,-22.90%,5,0,0.83,0
APPAREL_GIRLS,GIRL_TRAIN_APP,G_TIGHT,1116766,P2203,Nike Girls DF One Energy Tight Black,5,4,80.00%,76,9.00%,49,35,9.8,7
SOCCER,SCR_CORE_PROD,SCR_SHORT,1096108,NOOS,Umbro Club Soccer Shorts Blue,5,1,20.00%,76,61.50%,20,9,4,1.8
AUTHENTIC_SPORT,AMERICAN_SPORTS,NFL_LW,1118499,21Q3,Nike Packers Broadcast Essential Tee Grn,4,1,25.00%,75,12.40%,51,24,12.75,6
RACKET_SPORT,TABLETENNIS,TBT_BALL,1102346,ESS,Stiga Perform 3 Star Table Tennis Balls,17,2,11.76%,75,37.80%,1477,1160,86.88,68.24
GOLF,GOLF_CLOTH,GOLF_POLO,1117804,21Q3,Nike Dri-Fit Victory Golf Polo Red,2,,0.00%,75,27.90%,44,17,22,8.5
GOLF,GOLF_CLOTH,GLF_RWEAR,1117211,21Q2,Druids Heather Jacket Navy/Blue,1,,0.00%,75,66.40%,48,32,48,32
AUTHENTIC_SPORT,AMERICAN_SPORTS,NFL_LW,1118490,21Q3,Nike Patriots Jacket LWT Player Navy,1,1,100.00%,75,26.20%,1,0,1,0
AUTHENTIC_SPORT,AMERICAN_SPORTS,NFL_LW,1105888,NOOS,Fanatics Patriots Logo Tee Red,3,,0.00%,75,53.50%,270,45,90,15
AUTHENTIC_SPORT,AMERICAN_SPORTS,US_VBALL,1115222,22Q2,Nike Streak Volleyball Knee Pads Blk/Wht,3,1,33.33%,75,42.70%,52,38,17.33,12.67
SWIM,SWIM_HARDWARE,SW_ACC,1107088,CORE,Speedo Tech Paddle Red/Blue,3,,0.00%,75,55.50%,80,0,26.67,0
APPAREL_BOYS,BOYS_TRAIN_APP,JB_TSUIT,1116425,21Q3,Nike Boys G4G 3PK Bodysuit Blue,6,,0.00%,75,23.50%,10,5,1.67,0.83
RUGBY,RUGBY_REPLICA,CON_ACC,1121862,ESS,Rhino Connacht Rebounder Ball Green,3,,0.00%,75,49.80%,125,97,41.67,32.33
RUGBY,RUGBY_REPLICA,IRUG_TK,1124407,21Q3,Canterbury Georgia 21 Away Jersey White,1,,0.00%,75,56.90%,9,7,9,7
KEEPFIT,KEEP_FIT_WEIGHT,KPFTBELLS,1119294,ESS,Rival Vinyl Coat Kettlebell 6kg Lime,3,,0.00%,75,47.90%,1153,1128,384.33,376
KEEPFIT,ATHLETICS_ACC,ATH_TECH,1092122,NOOS,Garmin Vívofit 4 Large Black,1,1,100.00%,75,23.00%,32,1,32,1
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSCTRFW,1116452,21Q3,Nike Renew In Season TR 11 Wmns Run Pink,2,,0.00%,75,24.40%,7,0,3.5,0
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_TIGHTS,1125102,22Q1,ENERGETICS Kapinem 2 Wms Yoga Tight Pink,3,,0.00%,75,64.70%,83,54,27.67,18
FOOTWEAR_MEN,MEN_PERF_FW,MENSTRLFW,1117967,P2203,Saucony Peregrine 11 GTX Men Run Blk/Gry,1,2,200.00%,75,-82.70%,6,1,6,1
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1116528,P2203,Nike Air Max Excee Mens Fw White/Grey,1,1,100.00%,75,26.00%,45,32,45,32
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1116193,21Q3,adidas Racer TR21 Mens Fw Black,2,,0.00%,75,-5.10%,65,17,32.5,8.5
SOCCER,SOCCER_REPLICA,SIRE_LW,1118300,21Q3,Umbro FAI 21 QZ Fleece  Black,1,,0.00%,75,52.80%,184,40,184,40
SOCCER,SOCCER_REPLICA,SIRE_LW,1118344,21Q3,Umbro FAI 21 Wmns QZ Fleece  Black,1,,0.00%,75,42.60%,145,44,145,44
SOCCER,SOCCER_REPLICA,LOI_TK,1129056,21Q4,Macron Longford Town 22 Rain Jacket Blk,1,1,100.00%,75,41.00%,12,5,12,5
SOCCER,SCR_CORE_PROD,SCR_BALL,1116054,CORE,Mitre Ultimatch Indoor Football Yellow,3,,0.00%,75,51.50%,136,45,45.33,15
APPAREL_MEN,MEN_TRAIN_APP,M_INL_FZJ,1124702,22Q2,MCKINLEY Mens Lassa ux Jacket Grey,1,,0.00%,75,70.70%,99,67,99,67
APPAREL_MEN,MEN_RUN_APP,ATH_M_SST,1122836,22Q1,ASICS MENS CORE SS TOP LOGO BLUE,3,,0.00%,75,53.60%,256,164,85.33,54.67
GAELIC,GAA_REPLICA,DUB_LW,1121114,21Q4,O'Neills Dublin Harlem Wmns Jacket Navy,1,1,100.00%,75,37.50%,36,25,36,25
GAELIC,GAA_REPLICA,MAY_LW,1100617,ESS,FOCO Mayo Rabbit Teddy Green,5,,0.00%,75,52.40%,34,2,6.8,0.4
GAELIC,GAA_REPLICA,KER_LW,1120839,21Q4,O'Neills Kerry Harlem Jacket Navy,1,1,100.00%,75,-10.00%,26,15,26,15
GAELIC,GAA_REPLICA,KIL_LW,1120814,21Q4,O'Neills Kilkenny Harlem Jacket Black,1,,0.00%,75,45.00%,9,0,9,0
GAELIC,GAA_REPLICA,MTH_LW,1120849,21Q4,O'Neills Meath Harlem Jacket Navy,1,,0.00%,75,45.00%,10,0,10,0
GAELIC,GAA_REPLICA,LTH_TK,1128074,GAATK,O'Neills Louth 22 Home PF Jersey Red,1,1,100.00%,75,42.00%,42,27,42,27
GAELIC,GAA_REPLICA,LFD_TK,1128069,GAATK,O'Neills Longford 22 Home PF Jersey Blue,1,,0.00%,75,42.00%,21,15,21,15
RUGBY,RUGBY_REPLICA,RIRE_TK,1118080,21Q3,Canterbury IRFU 21 WNT Kids Jersey Green,2,1,50.00%,75,17.60%,100,4,50,2
FOOTWEAR_BOYS,INF_BOYS_FW,INFBOYSFW,1115469,P2201,Skechers Retro Sneak Inf Boy Fw Nvy/Gold,5,5,100.00%,74,-13.20%,2,2,0.4,0.4
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_ASTRO,1112878,P2201,Umbro Tocco Club TF Black,2,2,100.00%,74,46.00%,30,21,15,10.5
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_K_FBB,1117737,P2201,Nike Kids Tiempo Legend 9 Club FG/MG Wht,3,,0.00%,74,34.20%,9,0,3,0
SUPPORTS,SUPPORTS1,SUP_KNEE,10000,CORE,LP Neoprene Knee Support Closed Blue,4,1,25.00%,74,70.20%,27,0,6.75,0
BAG_CAP_SCARF,BAGS,BAG_M_BPK,1116067,21Q3,adidas Classic Bos Backpack Rose Tone,5,2,40.00%,74,6.30%,15,11,3,2.2
FOOTWEAR_GIRLS,INF_GIRLS_FW,INFGIRLFW,1123423,22Q1,Nike Jordan Max Aura3 Inf Girl BB Wht/Bk,2,2,100.00%,74,46.60%,36,13,18,6.5
SWIM,SWIMWEAR,SW_BSW,1091332,22Q1,adidas Fit 3S Boys Jammer Black/Wht,3,1,33.33%,74,50.90%,49,23,16.33,7.67
APPAREL_BOYS,BOYS_TRAIN_APP,B_1\/2_ZT,1120156,P2203,Nike Kids TF Acd Drl Top Black,2,1,50.00%,74,40.70%,47,39,23.5,19.5
APPAREL_MEN,MEN_TRAIN_APP,TRAIN_HG,1112700,CORE,UA Mens HG Armour Leggings Black,2,2,100.00%,74,56.80%,209,185,104.5,92.5
GAELIC,GAA_REPLICA,DUB_LW,1121026,21Q4,O'Neills Dublin Harlem Kids Jacket Navy,1,,0.00%,74,37.70%,352,270,352,270
GAELIC,GAA_REPLICA,MAY_LW,1121044,21Q4,O'Neills Mayo Harlem Kids Jacket Navy,1,,0.00%,74,45.10%,6,0,6,0
GAELIC,GAA_REPLICA,OFF_LW,1120515,21Q4,O'Neills Offaly Harlem Kids Jacket Navy,1,,0.00%,74,45.10%,8,4,8,4
GAELIC,GAA_REPLICA,KDL_LW,1119482,21Q4,O'Neills Kildare Harlem QZ Hybrid Black,2,,0.00%,74,6.20%,2,0,1,0
KEEPFIT,KEEP_FIT_ACC,KPFTROPES,70871001,ESS,Body Sculpture Skipping Rope Black,14,4,28.57%,74,61.60%,117,39,8.36,2.79
SOCCER,SCR_CORE_PROD,SCR_SHORT,1096114,NOOS,Umbro Club Soccer Kids Shorts Blue,6,3,50.00%,74,58.50%,19,11,3.17,1.83
KEEPFIT,KEEP_FIT_ACC,KPFTTONER,1104626,NOOS,PulseRoll Vibrating Peanut Shap Ball Blk,1,,0.00%,74,12.20%,23,5,23,5
APPAREL_BOYS,BOYS_TRAIN_APP,B_INL_JKT,1118380,P2201,TNF Kids Surgent Hybrid Fullzip Black,2,1,50.00%,73,-22.20%,4,1,2,0.5
GOLF,GOLF_CLOTH,GLF_KWEAR,1097406,ESS,Footjoy Chill Out QZ Top Black,1,,0.00%,73,49.60%,195,129,195,129
APPAREL_WOMEN,WOMEN_RUN_APP,ATH_W_TGT,1115863,P2203,Asics Wmns Kasane 78 Tight Black,4,4,100.00%,73,-104.70%,11,3,2.75,0.75
OUTDOOR,SURF,SUR_ACC,1126212,22Q2,Firefly Freaky II Kids Aqua Shoe Blue,9,5,55.56%,72,70.70%,940,842,104.44,93.56
APPAREL_WOMEN,WOMEN_RUN_APP,ATH_W_LST,1123180,22Q1,Nike Wmns TF Run DVN Midlayer Black,1,,0.00%,72,44.20%,34,25,34,25
GOLF,GOLF_HARDWARE,GLF_GLOVE,1097469,ESS,Footjoy GT XTREME MLH Glove White,4,,0.00%,72,47.70%,66,13,16.5,3.25
SOCKS,SOCKS1,SOC_W_INL,101408000,CORE,Puma Womens Low Cut Sock 3PK Multi,12,1,8.33%,72,45.70%,148,28,12.33,2.33
SOCKS,SOCKS1,MEN_BOXER,1129550,NOOS,SAXX Vibe Boxer Brief Navy,3,3,100.00%,72,38.50%,44,23,14.67,7.67
SOCKS,SOCKS1,MEN_BOXER,1129552,NOOS,SAXX Ultra Boxer Brief Indigo,3,3,100.00%,72,38.50%,18,6,6,2
BAG_CAP_SCARF,BAGS,BAG_M_GYM,1123365,CORE,Nike Heritage Gym Sack Black,4,1,25.00%,72,50.80%,52,35,13,8.75
BAG_CAP_SCARF,WINTER,CAP_K_BRX,1119260,21Q4,Puma Ess Logo Cuffless Beanie Jr Pink,16,2,12.50%,72,1.30%,364,159,22.75,9.94
AUTHENTIC_SPORT,AMERICAN_SPORTS,US_FOOT,1103841,ESS,Wilson NFL Team Logo Mini - Sea Hawks Bl,7,,0.00%,72,50.50%,94,24,13.43,3.43
AUTHENTIC_SPORT,DARTS,DTS_ACC,1092527,NOOS,Harrows Twin Pack Black/Silver,26,,0.00%,72,49.80%,257,0,9.88,0
SWIM,SWIMWEAR,SW_GSW,1124150,22Q1,SPEEDO Printed Long Sleeve Rash Top Blk,2,,0.00%,72,48.50%,248,132,124,66
FOOTWEAR_BOYS,JNR_BOYS_FW,JNRBOYSFW,1106814,P2201,Nike Air Max Invigor Jnr Boys Black,4,4,100.00%,72,-23.40%,4,0,1,0
FOOTWEAR_BOYS,JNR_BOYS_FW,JNRBOYSFW,1098408,P2201,Nike Air Max Invigor Jnr Boys Fw Grey,4,4,100.00%,72,-24.80%,7,0,1.75,0
RUGBY,RUG_CORE_STOCK,RUG_TEE,1046743,14Q2,Gilbert Adjustable Kicking Tee Blue/Grn,4,3,75.00%,72,54.70%,34,21,8.5,5.25
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1115947,P2201,Asics Gel-Kayano 28 COS Wmns Run Wht/Blu,1,1,100.00%,72,100.00%,2,0,2,0
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1115948,P2201,Asics Gel-Kayano 28 MK Wmn Mist/Soft Sky,1,1,100.00%,72,100.00%,0,0,0,0
KEEPFIT,KEEP_FIT_ACC,KPFTRESAC,1122574,ESS,PTP Elite Power Handles Black,6,,0.00%,72,60.10%,376,306,62.67,51
KEEPFIT,KEEP_FIT_ACC,KPFTMATS,1133445,22Q1,Phoenix Fitness Yoga Mat Dark Grey,6,,0.00%,72,65.60%,130,55,21.67,9.17
KEEPFIT,KEEP_FIT_ACC,KPFTROPES,1122608,ESS,PTP X Rope Black,3,1,33.33%,72,56.40%,749,579,249.67,193
KEEPFIT,ATHLETICS_ACC,GAA_WBOTL,1093721,CORE,Nike Hypercharge 24oz Straw Bottle Pink,4,,0.00%,72,44.30%,47,14,11.75,3.5
KEEPFIT,ATHLETICS_ACC,GAA_WBOTL,1108285,NOOS,ion8 Pod 350ml Water Bottle Blue,6,3,50.00%,72,50.30%,46,12,7.67,2
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_FZ_HDD,1119703,21Q4,adidas Wmns Branded Layer Full Zip Black,2,1,50.00%,72,-25.10%,21,5,10.5,2.5
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_TNK_TOP,1132056,22Q1,PUMA MID IMPACT PUMA STRONG TOP GREY,3,,0.00%,72,53.90%,265,137,88.33,45.67
APPAREL_WOMEN,WOMEN_RUN_APP,ATH_W_TGT,1087558,21Q3,Asics Silver Wmn Tight Black,3,,0.00%,72,23.00%,144,26,48,8.67
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1116316,P2201,Asics Gel-Kayano 28 Mens Run Black/Red,1,1,100.00%,72,-28.90%,2,0,2,0
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1115900,P2201,Asics Gel-Kayano 28 COS Men Run Grey/Blu,1,1,100.00%,72,100.00%,1,0,1,0
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1116526,P2203,Nike Air Max AP Mens Black,1,1,100.00%,72,37.00%,11,7,11,7
SOCCER,SOCCER_REPLICA,SIRE_LW,1118327,21Q3,Umbro FAI 21 Warm Up Jersey Kids Black,2,,0.00%,72,41.70%,15,0,7.5,0
SOCCER,SOCCER_REPLICA,LOI_TK,1109432,20Q1,Macron Longford Town Aw 20 Jersey Yell,2,,0.00%,72,0.90%,2,2,1,1
APPAREL_MEN,MEN_RUN_APP,ATH_M_SST,1117096,P2203,Nike Mens DF ADV Run DVN Tech Tee Black,4,4,100.00%,72,-64.00%,12,11,3,2.75
GAELIC,GAA_CORE_STOCK,GAA_TRAIN,1083070,CORE,Karakal Training Bib 5 Pack JNR Yellow,6,2,33.33%,72,45.90%,162,60,27,10
GAELIC,GAA_CORE_STOCK,GAA_SOC,1121624,ESS,O'Neills Castlebar Mitchels Midi Rd/Am,6,,0.00%,72,0.397847626,95,92,15.83,15.33
GAELIC,GAA_REPLICA,TIP_LW,1121887,22Q1C,O'Neills Tipperary Rowland Polo Black,2,,0.00%,72,38.90%,107,79,53.5,39.5
GAELIC,GAA_CORE_STOCK,GAA_GRIPS,93285001,CORE,Karakal Duo Grip Red/White,18,1,5.56%,72,55.60%,257,35,14.28,1.94
SOCCER,SCR_CORE_PROD,SCR_SHORT,1096112,NOOS,Umbro Club Soccer Kids Shorts Navy,6,,0.00%,72,59.80%,81,1,13.5,0.17
GOLF,GOLF_FOOTWEAR,GLF_MSHOE,1113949,21Q2,UA Draw Sport Shoe SL E White,1,,0.00%,71,29.20%,37,0,37,0
SOCCER,SCR_CORE_PROD,SCR_MACC,1052577,CORE,Precision Key Spanner,24,,0.00%,71,61.00%,111,32,4.63,1.33
RUGBY,RUGBY_REPLICA,RIRE_LW,1118142,P2201,Canterbury IRFU 21 Block Tee Green,5,5,100.00%,71,14.80%,9,6,1.8,1.2
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_TIGHTS,1115732,P2203,Energetics Wmns Kapaluk Yoga Tight Black,4,3,75.00%,71,55.60%,115,47,28.75,11.75
SOCKS,SOCKS1,SOC_M_INL,1115099,ESS,Asics 3 Pack Mens Quarter Socks Black,8,,0.00%,71,45.80%,492,342,61.5,42.75
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_TIGHTS,1124668,22Q1,ENERGETICS Klarin Seamlesss Yoga Tight P,2,,0.00%,71,77.70%,373,244,186.5,122
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1117344,P2203,Puma Graviton Mens Fw Black,3,3,100.00%,71,-26.10%,4,3,1.33,1
GAELIC,GAA_REPLICA,DUB_LW,1121118,21Q4,O'Neills Dublin Harlem Girls Brush QZ Ny,2,1,50.00%,70,6.90%,65,48,32.5,24
GAELIC,GAA_REPLICA,TIP_LW,1121154,21Q4,O'Neills Tipp Harlem Girl Brushed QZ Nvy,2,,0.00%,70,17.90%,4,0,2,0
GAELIC,GAA_REPLICA,MTH_LW,1121309,21Q4,O'Neills Meath Harlem Girl Brushed QZ Ny,2,,0.00%,70,17.90%,0,0,0,0
GAELIC,GAA_REPLICA,MAY_TK,1122419,GAATK,O'Neills Mayo 21 Alt Midi Sock Black,6,1,16.67%,70,40.50%,18,8,3,1.33
GAELIC,GAA_REPLICA,LTH_TK,1131249,GAATK,O'Neills Louth 22 Home Midi Sock Red,6,1,16.67%,70,40.50%,35,24,5.83,4
FOOTWEAR_GIRLS,JNR_GIRLS_FW,JNRGIRLFW,1116826,P2203,Nike Team Hustle 10 SE Jnr Uni Fw Wh/Blk,7,7,100.00%,70,-102.70%,5,1,0.71,0.14
RACKET_SPORT,TENNIS,TNS_RKT_I,1130594,22Q2,Babolat Aero JR 26 Tns Racket Yellow/Blk,1,1,100.00%,70,44.60%,22,10,22,10
GOLF,GOLF_CLOTH,GLF_KWEAR,1125676,22Q1,UA Playoff 1/4 Zip Navy,1,,0.00%,70,49.90%,140,106,140,106
GOLF,GOLF_CLOTH,GLF_RWEAR,1117212,21Q2,Druids Heather Gilet Black,1,,0.00%,70,63.80%,64,38,64,38
SWIM,SWIM_HARDWARE,SW_K_GOG,1101394,CORE,Aquasphere Moby Junior Kids Goggle Pink,5,,0.00%,70,60.40%,25,0,5,0
SWIM,SWIM_HARDWARE,SW_ACC,1131362,CORE,Speedo CENTRE SNORKEL-Bllue Flame/Pool B,2,,0.00%,70,51.20%,27,16,13.5,8
SWIM,SWIM_HARDWARE,SW_ARMBAN,1105967,CORE,Speedo Croc Printed Armbands 2-6y Cosmos,7,,0.00%,70,50.70%,7,0,1,0
AUTHENTIC_SPORT,AMERICAN_SPORTS,US_BASE,1129928,#,"Wilson A360 Baseball glove 13""",1,,0.00%,70,34.60%,13,4,13,4
AUTHENTIC_SPORT,AMERICAN_SPORTS,US_BASE,1129933,#,Bronx Wooden Baseball Bat and ball set,2,,0.00%,70,58.60%,71,43,35.5,21.5
APPAREL_BOYS,BOYS_TRAIN_APP,JB_TSUIT,1123628,22Q1,adidas Boys I FI 3S Jog FT Black,2,,0.00%,70,53.90%,57,28,28.5,14
FOOTWEAR_BOYS,JNR_BOYS_FW,JNRBOYSFW,1120491,21Q4,adidas Breaknet Jnr Boys Fw White/Blue,3,,0.00%,70,23.00%,56,0,18.67,0
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_K_AST,1117724,21Q3,Nike JR Vapor 14 Club TF Black,2,1,50.00%,70,50.60%,132,20,66,10
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1116306,P2201,Asics GT-2000 9 Womens Run Blue,1,,0.00%,70,3.30%,6,1,6,1
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSCTRFW,1116336,21Q4,UA Hovr Apex 3 Womens Fw Black/White,1,,0.00%,70,10.80%,37,6,37,6
FOOTWEAR_WOMEN,WOMEN_STYLE_FW,LDSSTYLFW,1120470,P2203,adidas VL Court 2.0 Womens Fw Grey/White,2,1,50.00%,70,1.40%,6,0,3,0
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_TIGHTS,1123575,22Q1,PUMA Wmn Train Strong Full Tight Bk,2,,0.00%,70,52.60%,64,38,32,19
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_LS_TSH,1119714,21Q4,adidas Wmns TRN Cold.Rdy LS Blue,3,,0.00%,70,-50.30%,62,21,20.67,7
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_BRA_TOP,1123821,22Q1,UA Wmns Infinity Low Blocked Red,2,,0.00%,70,49.90%,41,21,20.5,10.5
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_BRA_TOP,1114141,P21Q4,Nike Indy Icon Clash STRPY Bra Purple,4,3,75.00%,70,1.60%,44,37,11,9.25
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1116178,P2203,adidas Solar Glide 4 ST Mens Fw Blk/Wht,1,1,100.00%,70,-5.20%,4,3,4,3
FOOTWEAR_MEN,MEN_PERF_FW,ATH_SPIKE,1123403,22Q1,Nike Zoom Rival D10 Adult Spikes Grn/Orn,1,1,100.00%,70,49.60%,22,22,22,22
FOOTWEAR_MEN,MEN_STYLE_FW,MENSBBBFW,1117301,22Q2,Nike Precision 5 Mens BB Black/White,1,,0.00%,70,49.60%,33,8,33,8
SOCCER,SOCCER_REPLICA,DDK_TK,1125074,21Q4,Umbro Dundalk FC Away Jrsy 21 Red,1,1,100.00%,70,44.90%,25,4,25,4
SOCCER,SOCCER_REPLICA,SHEL_TK,1122979,21Q4,Umbro Shelbourne 22 Home Jersey Red,1,,0.00%,70,42.00%,15,10,15,10
SOCCER,SCR_CORE_PROD,SCR_GLOVE,1099124,CORE,Precision Fusion X.3D Pro Negative Wh/Bl,1,,0.00%,70,46.40%,60,40,60,40
APPAREL_MEN,MEN_TRAIN_APP,M_SWEAT,1126855,22Q2,NIKE  MENS NSW NIKE AIR BB CREW RED,1,,0.00%,70,50.80%,35,22,35,22
APPAREL_MEN,MEN_TRAIN_APP,M_INL_TSH,1120023,21Q4,Nike Pro Mens DF Hpr Dry Tee Blue,2,,0.00%,70,50.80%,87,64,43.5,32
APPAREL_MEN,MEN_TRAIN_APP,TRAIN_HG,1123232,22Q1,Nike Men's NPC DF Comp LS Top Black,1,,0.00%,70,53.20%,58,38,58,38
APPAREL_MEN,MEN_TRAIN_APP,M_INL_FZJ,1127681,P2201, adidas Mens Hooded Jacket Green,1,1,100.00%,70,49.90%,8,8,8,8
APPAREL_MEN,MEN_TRAIN_APP,M_TSUIT,1128976,22Q1,NIKE Dri-Fit ACD21 Tracksuit Black,1,,0.00%,70,46.80%,114,70,114,70
APPAREL_MEN,MEN_RUN_APP,ATH_M_JKT,1119681,22Q1,adidas Mens Marathon Jacket Black,1,1,100.00%,70,49.90%,25,9,25,9
GAELIC,GAA_CORE_STOCK,GAA_GRIPS,1099716,ESS,Karakal PU Super Hurling X-Long Grip Mar,11,1,9.09%,70,59.70%,187,0,17,0
GAELIC,GAA_REPLICA,DUB_TK,1096612,19Q2,O'Neills Dublin Alt 19 Jersey Black,1,,0.00%,70,37.60%,144,0,144,0
GAELIC,GAA_REPLICA,TIP_TK,1094886,GAATK,O'Neills Tipperary 19 Home Jersey Blue,1,,0.00%,70,39.70%,1,0,1,0
GAELIC,GAA_REPLICA,GAL_TK,1118657,GAATK,O'Neills Galway 21 Home Wmn Fit Jersey M,1,,0.00%,70,42.00%,31,18,31,18
GAELIC,GAA_REPLICA,DON_TK,1128081,GAATK,O'Neills Donegal 22 Home Wmn Fit Jersey,1,,0.00%,70,42.00%,13,6,13,6
GAELIC,GAA_REPLICA,MTH_TK,1123429,GAATK,O'Neills Meath 20 Alt Jersey Grey,1,,0.00%,70,33.20%,25,7,25,7
GAELIC,GAA_REPLICA,ROS_TK,1128061,GAATK,O'Neills Roscommon 22 Home Wmn Fit Jerse,1,,0.00%,70,42.00%,17,14,17,14
GAELIC,GAA_REPLICA,LAO_TK,1131290,GAATK,O'Neills Laois 22 GK Home Jersy Blu,1,,0.00%,70,42.00%,63,51,63,51
GAELIC,GAA_REPLICA,LAO_TK,1128086,GAATK,O'Neills Laois 22 Home Wmn Fit Jersey Bl,1,,0.00%,70,42.00%,37,26,37,26
GAELIC,GAA_REPLICA,LFD_TK,1128070,GAATK,O'Neills Longford 22 Home Jersey Blue,1,,0.00%,70,42.00%,80,36,80,36
GAELIC,GAA_REPLICA,MON_TK,1113160,GAATK,O'Neills Monaghan 21 Home Jersey Wht,1,,0.00%,70,42.00%,151,127,151,127
GAELIC,GAA_REPLICA,WIC_TK,1132150,GAATK,O'Neills Wicklow 21 Home Wmns Fit Jersey,1,1,100.00%,70,42.00%,35,27,35,27
GAELIC,GAA_REPLICA,CAV_TK,1118646,GAATK,O'Neills Cavan 21 Home Jersey Blue,1,1,100.00%,70,42.00%,45,31,45,31
GAELIC,GAA_REPLICA,CAV_TK,1118647,GAATK,O'Neills Cavan 21 Home Wmn Fit Jersey Bl,1,1,100.00%,70,42.00%,14,14,14,14
GAELIC,GAA_REPLICA,TYR_TK,1132226,GAATK,O'Neills Tyrone 22 Home Jersey Wht,1,,0.00%,70,42.00%,59,47,59,47
RACKET_SPORT,TENNIS,TNS_SHOE,1105951,22Q2,Babolat Pulsion OC Mens Shoe White/Blue,1,,0.00%,70,36.70%,106,73,106,73
SOCCER,SCR_CORE_PROD,SCR_BALL,1102187,20Q1,Mitre Super Dimple Tarmac Ball Royal/Lim,8,,0.00%,70,30.20%,59,0,7.38,0
BAG_CAP_SCARF,CAPS,CAP_M_CAP,1122671,22Q1,New Era 9Forty LA Dodgers Black & Gold,3,,0.00%,70,49.90%,41,25,13.67,8.33
AUTHENTIC_SPORT,DARTS,DTS,1092482,NOOS,Harrows ACE 24GR,5,,0.00%,69,44.60%,128,86,25.6,17.2
SWIM,SWIM_HARDWARE,SW_A_GOG,1107588,CORE,Speedo Fastskin Pure Focus Mirror Black,1,,0.00%,69,54.40%,19,4,19,4
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1120295,P2203,Nike Venture Runner Mens Fw Grey/White,2,2,100.00%,69,27.30%,12,4,6,2
FOOTWEAR_BOYS,KIDS_BOYS_FW,KIDBOYSFW,1117332,P2201,Nike Team Hustled D10 Kid Uni BB Wht/Blk,3,3,100.00%,69,25.00%,0,0,0,0
RUGBY,RUG_CORE_STOCK,RUG_BALL,1118969,21Q2,Rugbytech Snr 4 Ball Multi,8,,0.00%,69,49.90%,149,0,18.63,0
GAELIC,GAA_REPLICA,ROS_LW,1121314,21Q4,O'Neills Roscommon Harlem Wmns Bobble Ny,5,1,20.00%,69,20.20%,10,3,2,0.6
APPAREL_MEN,MEN_TRAIN_APP,M_SWEAT,1120046,P2203,Nike Swoosh Mens Club Crew Green,2,1,50.00%,69,27.20%,82,62,41,31
GAELIC,GAA_REPLICA,KIL_TK,1132170,GAATK,O'Neills Kilkenny 22 Home Kids Midi Sock,7,,0.00%,69,44.10%,62,51,8.86,7.29
APPAREL_BOYS,BOYS_TRAIN_APP,B_TSUIT,1119099,21Q4,Puma Boys individualRISE Tracksuit Black,3,,0.00%,68,13.20%,25,0,8.33,0
KEEPFIT,SUPPLEMENTS,RUG_DRINK,100334001,NOOS,Powerade Berry &Tropical 500ml,31,,0.00%,68,46.80%,271,25,8.74,0.81
